Population,soil type,alt soil type,no GCN,Root Number,0.25 mm,0.5mm,0.75mm,1mm,1.25mm,1.5mm,1.75mm,2mm,sharpie
CC,MS,MS,MS,1.0,0.521,0.707,0.806,0.868,0.918,0.955,0.992,1.017,0.4798464491362764
CC,MS,MS,MS,2.0,0.558,0.744,0.831,0.893,0.943,0.98,1.017,1.029,0.4480286738351254
CC,MS,MS,MS,3.0,0.558,0.757,0.881,0.98,1.067,1.129,1.191,1.24,0.4480286738351254
CC,MS,MS,MS,4.0,0.459,0.645,0.757,0.831,0.868,0.893,0.93,0.943,0.5446623093681917
CC,MS,MS,MS,5.0,0.571,0.806,0.905,0.967,1.029,1.079,1.116,1.153,0.43782837127845886
CC,MS,MS,MS,6.0,0.447,0.608,0.682,0.769,0.806,0.843,0.893,0.905,0.5592841163310962
CC,MS,MS,MS,7.0,0.484,0.657,0.781,0.843,0.893,0.943,0.967,0.992,0.5165289256198348
CC,MS,MS,MS,8.0,0.583,0.744,0.831,0.881,0.93,0.967,0.992,1.029,0.42881646655231564
CC,MS,MS,MS,9.0,0.509,0.67,0.781,0.831,0.881,0.93,0.943,0.98,0.4911591355599214
CC,MS,MS,MS,10.0,0.471,0.645,0.744,0.794,0.856,0.893,0.918,0.943,0.5307855626326964
CF,GD,GD,GD,1.0,0.459,0.67,0.781,0.881,0.955,1.005,1.054,1.104,0.5446623093681917
CF,GD,GD,GD,2.0,0.496,0.757,0.893,1.005,1.079,1.153,1.203,1.253,0.5040322580645161
CF,GD,GD,GD,3.0,0.509,0.769,0.918,1.017,1.091,1.141,1.191,1.228,0.4911591355599214
CF,GD,GD,GD,4.0,0.459,0.67,0.819,0.93,0.98,1.029,1.091,1.129,0.5446623093681917
CF,GD,GD,GD,5.0,0.546,0.854,0.943,1.029,1.104,1.153,1.191,1.24,0.45787545787545786
CF,GD,GD,GD,6.0,0.509,0.719,0.856,0.943,1.017,1.067,1.116,1.166,0.4911591355599214
CF,GD,GD,GD,7.0,0.496,0.719,0.843,0.943,1.017,1.067,1.116,1.178,0.5040322580645161
CF,GD,GD,GD,8.0,0.495,0.732,0.831,0.93,0.992,1.054,1.091,1.141,0.5050505050505051
CF,GD,GD,GD,9.0,0.583,0.806,0.905,0.955,0.992,1.054,1.091,1.116,0.42881646655231564
CF,GD,GD,GD,10.0,0.583,0.769,0.868,0.943,0.992,1.042,1.079,1.116,0.42881646655231564
DEM,GD,GD,GD,1.0,0.434,0.633,0.769,0.843,0.893,0.943,0.992,1.017,0.5760368663594471
DEM,GD,GD,GD,2.0,0.496,0.695,0.819,0.918,0.98,1.042,1.104,1.129,0.5040322580645161
DEM,GD,GD,GD,3.0,0.509,0.707,0.819,0.881,0.943,1.005,1.067,1.116,0.4911591355599214
DEM,GD,GD,GD,4.0,0.533,0.744,0.868,0.943,1.005,1.079,1.116,1.153,0.4690431519699812
DEM,GD,GD,GD,5.0,0.484,0.657,0.757,0.831,0.881,0.93,0.98,1.017,0.5165289256198348
DEM,GD,GD,GD,6.0,0.459,0.67,0.794,0.868,0.943,0.992,1.042,1.079,0.5446623093681917
DEM,GD,GD,GD,7.0,0.484,0.67,0.806,0.881,0.943,1.005,1.054,1.091,0.5165289256198348
DEM,GD,GD,GD,8.0,0.546,0.719,0.831,0.905,0.955,1.017,1.054,1.079,0.45787545787545786
DEM,GD,GD,GD,9.0,0.484,0.657,0.769,0.843,0.918,0.98,1.042,1.091,0.5165289256198348
DEM,GD,GD,GD,10.0,0.484,0.67,0.769,0.843,0.905,0.955,1.005,1.042,0.5165289256198348
GCN,GD,MS,,1.0,0.509,0.695,0.794,0.881,0.943,0.992,1.042,1.079,0.4911591355599214
GCN,GD,MS,,2.0,0.571,0.781,0.905,1.029,1.104,1.166,1.216,1.265,0.43782837127845886
GCN,GD,MS,,3.0,0.484,0.62,0.757,0.794,0.831,0.881,0.93,0.93,0.5165289256198348
GCN,GD,MS,,4.0,0.571,0.732,0.819,0.881,0.943,0.98,1.017,1.029,0.43782837127845886
GCN,GD,MS,,5.0,0.459,0.657,0.769,0.843,0.881,0.918,0.943,0.967,0.5446623093681917
GCN,GD,MS,,6.0,0.571,0.744,0.831,0.918,0.967,1.005,1.042,1.079,0.43782837127845886
GCN,GD,MS,,7.0,0.459,0.657,0.757,0.831,0.881,0.918,0.943,0.98,0.5446623093681917
GCN,GD,MS,,8.0,0.546,0.856,0.943,1.005,1.054,1.104,1.153,1.201,0.45787545787545786
GCN,GD,MS,,9.0,0.496,0.707,0.831,0.918,0.98,1.054,1.091,1.153,0.5040322580645161
GCN,GD,MS,,10.0,0.447,0.633,0.744,0.819,0.856,0.905,0.943,0.98,0.5592841163310962
LCE,GD,GD,GD,1.0,0.434,0.645,0.769,0.881,0.93,0.98,1.017,1.054,0.5760368663594471
LCE,GD,GD,GD,2.0,0.447,0.633,0.769,0.856,0.918,0.98,1.029,1.017,0.5592841163310962
LCE,GD,GD,GD,3.0,0.484,0.657,0.744,0.831,0.868,0.918,0.943,0.967,0.5165289256198348
LCE,GD,GD,GD,4.0,0.459,0.67,0.806,0.893,0.955,1.017,1.054,1.104,0.5446623093681917
LCE,GD,GD,GD,5.0,0.484,0.67,0.794,0.881,0.955,1.017,1.054,1.091,0.5165289256198348
LCE,GD,GD,GD,6.0,0.459,0.67,0.819,0.905,0.955,1.005,1.054,1.067,0.5446623093681917
LCE,GD,GD,GD,7.0,0.459,0.682,0.819,0.905,0.955,1.005,1.054,1.079,0.5446623093681917
LCE,GD,GD,GD,8.0,0.496,0.682,0.819,0.893,0.943,0.98,1.029,1.067,0.5040322580645161
LCE,GD,GD,GD,9.0,0.546,0.732,0.819,0.881,0.943,0.967,0.992,1.017,0.45787545787545786
LCE,GD,GD,GD,10.0,0.484,0.645,0.744,0.806,0.856,0.881,0.918,0.955,0.5165289256198348
OSR,GD,GD,GD,1.0,0.517,0.726,0.837,0.898,0.972,0.997,1.009,1.046,0.48355899419729204
OSR,GD,GD,GD,2.0,0.554,0.751,0.837,0.874,0.923,0.96,0.985,0.997,0.45126353790613716
OSR,GD,GD,GD,3.0,0.591,0.775,0.862,0.911,0.96,0.997,1.034,1.083,0.4230118443316413
OSR,GD,GD,GD,4.0,0.64,0.788,0.874,0.911,0.948,0.972,0.972,1.095,0.390625
OSR,GD,GD,GD,5.0,0.505,0.714,0.825,0.898,0.911,0.948,0.997,1.009,0.49504950495049505
OSR,GD,GD,GD,6.0,0.418,0.578,0.677,0.751,0.8,0.849,0.874,0.911,0.5980861244019139
OSR,GD,GD,GD,7.0,0.543,0.689,0.8,0.862,0.911,0.96,0.997,0.997,0.4604051565377532
OSR,GD,GD,GD,8.0,0.505,0.652,0.726,0.763,0.812,0.849,0.886,0.837,0.49504950495049505
OSR,GD,GD,GD,9.0,0.554,0.726,0.812,0.898,0.96,0.997,1.022,1.009,0.45126353790613716
OSR,GD,GD,GD,10.0,0.468,0.689,0.837,0.862,0.96,0.997,1.022,1.058,0.5341880341880342
S8,GD,GD,GD,1.0,0.529,0.738,0.862,0.948,1.009,1.046,1.083,1.12,0.47258979206049145
S8,GD,GD,GD,2.0,0.468,0.665,0.751,0.837,0.874,0.911,0.948,0.972,0.5341880341880342
S8,GD,GD,GD,3.0,0.677,0.874,1.022,1.108,1.194,1.255,1.28,1.305,0.3692762186115214
S8,GD,GD,GD,4.0,0.542,0.714,0.812,0.898,0.96,1.009,1.058,1.108,0.46125461254612543
S8,GD,GD,GD,5.0,0.517,0.714,0.825,0.898,0.948,1.009,1.034,1.058,0.48355899419729204
S8,GD,GD,GD,6.0,0.505,0.677,0.775,0.862,0.911,0.972,1.022,1.046,0.49504950495049505
